feature,importance
pm25,0.05244596749848986
pm25_roll_mean_168,0.046039835461133244
pm25_roll_std_336,0.033475388993513155
pm25_roll_mean_72,0.031137056498013616
co_roll_mean_24,0.031073629159865796
so2_roll_mean_24,0.030992058001075056
pm25_roll_mean_24,0.030091506795914894
co,0.029052228465598184
hours_since_aqi_spike,0.027026175350133037
aqi_lag_24,0.026483688415930056
month_cos,0.02606822509068406
pm25_pm10_ratio,0.023743400889233372
temperature_roll_mean_24,0.02280301379989387
pm25_roll_std_168,0.02113066843847486
pm25_roll_std_72,0.018998849395257936
pressure,0.01622062618404324
aqi_roll_std_168,0.014621195054139025
interaction_pm25_wind_inverse,0.013885144699410141
wind_gusts_roll_max_24,0.01313847631367702
so2,0.01301053864411856
aqi_roll_min_24,0.012413453371864456
aqi_lag_72,0.01148532098206685
pm10,0.011376679714617935
pm25_vs_24h_avg,0.011335124882510775
pm25_vs_72h_avg,0.011185470868314765
aqi_lag_48,0.011011407921557923
aqi_roll_std_72,0.010849881300210192
humidity_roll_mean_24,0.010289434908152506
aqi_roll_min_168,0.009850431521529174
aqi_roll_min_72,0.00977569090233698
o3,0.009713834483407813
aqi_persistence_ratio,0.00946757184010858
pm25_roll_std_24h,0.009395823056652236
no2_roll_std_24,0.009003048005593851
month_sin,0.008865701083936731
o3_roll_mean_24,0.00837672774851722
aqi_lag_336,0.008134252537024373
aqi_lag_168,0.008085738559999181
aqi_recovery_rate,0.007873691419297007
wind_speed_roll_mean_24,0.00759535915301165
o3_roll_std_24,0.007461417712679656
cloud_cover_roll_mean_24,0.007445057518689809
aqi_same_hour_30days_ago,0.007406371802711657
pm10_roll_mean_24,0.007318895720369191
aqi_lag_6,0.00730743041580059
pm10_roll_mean_72,0.007247813394726874
aqi_zscore_72h,0.007121665022728588
wind_dispersal,0.006930308619663217
temperature_roll_std_24,0.00673948235847165
pm25_roll_std_24,0.006648377138474814
aqi_momentum_24_168,0.006552051392772836
pm10_lag_24,0.006389428581634116
interaction_pm25_humidity,0.006366095742427017
wind_x,0.006317669782819907
aqi_trend_ratio,0.005743376377644145
aqi_change_6h,0.005724923829531374
wind_speed_roll_std_24,0.005693397831221305
pm10_roll_std_24,0.005683957948656349
pressure_change_24h,0.005634674528642987
temp_humidity,0.005212701474761603
no2_o3_ratio,0.005149210191156364
temperature,0.005018034161387631
aqi_roll_std_24,0.004990187198194036
pm10_lag_72,0.004895800580633621
pm25_change_24h,0.004790327537783308
pm25_roll_std_6,0.0047791170783866715
temperature_lag_6,0.004262406743745164
heat_dryness,0.004253433791855417
aqi_volatility_ratio,0.0042409174740696024
o3_change_24h,0.004211479812579894
quarter,0.00411671971201147
aqi_diff_24_168,0.0039637335028904425
so2_change_24h,0.003932745398013257
consecutive_hours_above_150,0.003927257939903052
pm10_roll_std_12h,0.003804729929986976
humidity,0.0037530521067568176
wind_speed,0.0037482340347010368
no2,0.003712493878710974
wind_direction,0.00371106983062927
pm10_change_24h,0.0036916635613024155
aqi_lag_12,0.0036009944058464846
humidity_lag_24,0.0035787465188869454
wind_dir_sin,0.003432243491221078
pm10_lag_6,0.003279687925539634
temperature_change_24h,0.0032599041978675102
weekday_sin,0.0032292587596982406
co_change_24h,0.002981153121022444
weekday_cos,0.0029529291731416854
no2_change_24h,0.002861085624514367
wind_speed_lag_24,0.002856623465700395
aqi_momentum_6_24,0.0028042365853784843
wind_dir_cos,0.002724512163297254
humidity_lag_6,0.0026323918419212215
pm25_diff_1h,0.002594157502268603
humidity_change_24h,0.0025041336112220855
wind_speed_change_24h,0.0024966485054223266
wind_speed_lag_6,0.002419160219850128
pm10_diff_1h,0.0023146128677562477
cloud_cover,0.002061504886309498
cloud_cover_lag_1,0.001946284463118078
aqi_change_1h,0.0016588323985763601
rain_72h,0.001568334583110644
hour_cos,0.0015188440240479248
hour_sin,0.001184446528619537
dust_hours_72h,0.0008890076322321983
is_weekend,0.0007415330170575437
aqi_acceleration,0.0007211501609421624
rain_24h,0.000593280770931168
aqi_above_recent_q90,0.0005869718894143363
dust_event,0.0004656476056905635
is_rush_hour,0.00011294445092420163
precipitation,8.708540036273121e-06
